Course Code,Course Name,Default Category,Proposed Specific Category,File Count,Total Size (MB),Degree Programs,Academic Years,Sample Document Titles
H01G9A,"Atoomtheorie, chemische periodiciteit en chemische binding",Samenvattingen,Slides / Lesmateriaal,1,3.21,Ba - Chemische technologie,2010 - 2011,Presentatie Nn
H01G9A,"Atoomtheorie, chemische periodiciteit en chemische binding",Samenvattingen,Samenvattingen,4,9.86,Ba - Chemische technologie,"2010 - 2011, 2017 - 2018, 2020 - 2021",Formularium; Atoomtheorie (uitgebreid) (casper Janssen); Atoomtheorie Samenvatting (marnic Jacobs)
H01H3B,Bouwfysica,Examens,Examens,22,41.88,"Ba - Architectuur, Ba - Bouwkunde","2016 - 2017, 2017 - 2018, 2018 - 2019, 2019 - 2020, 2020 - 2021",Charlotte Goes Examenvragen; Uitgewerkte Theorievragen Oude Examens; H01h3 Bouwfysica Oefeningentest Modeloplossing 16 17
H01H3B,Bouwfysica,Oefenzittingen,Oefenzittingen,10,15.13,"Ba - Architectuur, Ba - Bouwkunde","2017 - 2018, 2018 - 2019, 2019 - 2020, 2022 - 2023",Oefeningen Massa; Oefeningen Warmte; Gestelde Theorievragen Bouwfysica (t E M Anno 2023) Compressed
H01H3B,Bouwfysica,Samenvattingen,Samenvattingen,17,15.97,"Ba - Architectuur, Ba - Bouwkunde","2020 - 2021, 2023 - 2024",Charlotte Goes Samenvatting; 0 Essentie; 01 Samenvatting Hoofdstuk 1
H01H3B,Bouwfysica,Samenvattingen,Overig / Other,1,2.49,Ba - Architectuur,2023 - 2024,Charlotte Goes Tips
H01H5A,Grondmechanica,Examens,Examens,8,56.44,Ma - Civil Engineering,"2018 - 2019, 2019 - 2020, 2021 - 2022, 2022 - 2023",Examenvragen Soil + Opl Met Figuren; Examenvragen Soil + Opl Met Figuren; Examenvragen Soil Bijgewerkt 2018 2019
H01H5A,Grondmechanica,Oefenzittingen,Oefenzittingen,14,116.53,Ma - Civil Engineering,"2018 - 2019, 2021 - 2022",Exercise 1; Exercise 2; Exercise 3
H01H5A,Grondmechanica,Samenvattingen,Overig / Other,9,41.34,Ma - Civil Engineering,"2021 - 2022, 2025 - 2026",Lexique Soilmech; Soilmech 9 Powrie 1997 Retaining Systems; Soilmech Powerpoint 1
H01H5A,Grondmechanica,Samenvattingen,Samenvattingen,10,24.54,Ma - Civil Engineering,"2022 - 2023, 2023 - 2024",Grondmechanica Samenvatting; Soil Mechanics Chapter 1 Summary; Soil Mechanics Chapter 2 1 Summary
H01I0B,Bouwmechanica,Examens,Examens,6,3.13,Ba - Bouwkunde,"2024 - 2025, 2025 - 2026",Cross Tabel Voorbeeldexamen; Examen Bouwmechanica 11juni2026; Opgave Voorbeeldexamen
H01I0B,Bouwmechanica,Oefenzittingen,Oefenzittingen,42,21.84,"Ba - Architectuur, Ba - Bouwkunde","2017 - 2018, 2021 - 2022",1; 2; 3
H01I0B,Bouwmechanica,Samenvattingen,Overig / Other,23,134.71,"Ba - Architectuur, Ba - Bouwkunde","2017 - 2018, 2022 - 2023",Bouwmechanica (oef); Bouwmechanica; Rotatiemethode Bouwmech
H01I0B,Bouwmechanica,Samenvattingen,Samenvattingen,6,23.26,"Ba - Architectuur, Ba - Bouwkunde",2021 - 2022,Bouwmechanica Samenvatting+opgelosteoefeningen Xandecoutere; H1 Samenvatting; H2 Samenvatting
H01I6A,Materialen gebruik & degradatie,Examens,Examens,2,2.34,Ba - Materiaalkunde,"2012 - 2013, 2023 - 2024",Examenvragen Materiaal Gebruik En Degradatie; Voorbeeld Examenvragen Academiejaar 2023 2024
H01I6A,Materialen gebruik & degradatie,Oefenzittingen,Oefenzittingen,1,5.08,Ba - Materiaalkunde,2009 - 2010,Breukmechanische Oefeningen 2009 2010
H01I6A,Materialen gebruik & degradatie,Oefenzittingen,Verslagen & Projecten,1,1.29,Ma - Materials Engineering,2025 - 2026,Arcelormittal (ghent) Case Study Failure Analysis Within Cooling System Final Report
H01I6A,Materialen gebruik & degradatie,Samenvattingen,Overig / Other,3,16.82,"Ba - Materiaalkunde, Ma - Materials Engineering","2013 - 2014, 2018 - 2019, 2025 - 2026",Extra Fotos Fractografie; Oef Breukmechanica + Vermoeiing (matthias Sempels); Arcelormittal (ghent) Case Study Failure Analysis Within Cooling System Presentation
H01I6A,Materialen gebruik & degradatie,Samenvattingen,Samenvattingen,4,22.07,Ba - Materiaalkunde,"2022 - 2023, 2024 - 2025, 2025 - 2026",Mgd Samenvatting Roel Peetermans; Mgd Samenvatting Benji; Samenvatting Boek3 Corrosie Slijtage Maarten Diepvens
H01I8A,Structurele materialen,Examens,Examens,1,0.37,Ba - Materiaalkunde,2019 - 2020,Opgeloste Examenvragen 2009 + 2010
H01I8A,Structurele materialen,Oefenzittingen,Oefenzittingen,2,0.39,Ba - Materiaalkunde,2019 - 2020,Veel Opgeloste Vragen; Vragen Constructiematerialen
H01I8A,Structurele materialen,Samenvattingen,Samenvattingen,9,15.73,Ba - Materiaalkunde,"2019 - 2020, 2020 - 2021",Samenvatting; [2018 19] Samenvatting Materialen En Corrosieprotectie Tibo Geenen; Constructiematerialen Schema
H01I8A,Structurele materialen,Samenvattingen,Overig / Other,2,0.16,Ba - Materiaalkunde,2019 - 2020,[2018 19] Legeringselementen Overzicht Tibo Geenen; Begrippenlijst Boku 2012
H01I8A,Structurele materialen,Samenvattingen,Slides / Lesmateriaal,1,18.48,Ba - Materiaalkunde,2019 - 2020,Slides Constructiematerialen
H01J3A,Thermo en kinetica,Examens,Examens,1,0.21,Ba - Materiaalkunde,2023 - 2024,Examen Thermodynamicakinetica 28jun22 Voorbeeld On Line
H01J3A,Thermo en kinetica,Oefenzittingen,Oefenzittingen,25,46.57,Ba - Materiaalkunde,"2008 - 2009, 2011 - 2012, 2012 - 2013, 2013 - 2014, 2021 - 2022",Theorievragen; Numerieke Opl Oefeningen 2013; Oefeningen Helene
H01J3A,Thermo en kinetica,Samenvattingen,Slides / Lesmateriaal,4,25.36,"Ba - Materiaalkunde, Ma - Materials Engineering","2011 - 2012, 2022 - 2023, 2025 - 2026",Ellinghamdiagrammen; All Exercices Ternary Phases Compressed; Isothermal Sections
H01J3A,Thermo en kinetica,Samenvattingen,Samenvattingen,6,24.08,Ba - Materiaalkunde,"2005 - 2006, 2011 - 2012, 2012 - 2013, 2013 - 2014, 2024 - 2025",Formularium Elektrochemie 2006; Formularium Chemisch Evenwicht 2006; Formularium Kinetica 2006
H01J4A,Materials Characterisation Techniques I,Examens,Examens,3,50.67,Ma - Materials Engineering,2022 - 2023,Exam Materials Characterisation Part 1 Marion Cardous; Exam Questions Part 2 Marion Cardous; Old Exam Questions Part 2 Roxanne Baeten
H01J4A,Materials Characterisation Techniques I,Oefenzittingen,Oefenzittingen,9,19.52,Ma - Materials Engineering,"2022 - 2023, 2023 - 2024, 2024 - 2025, 2025 - 2026",2025 Exercise Session Pt1; 2025 Exercise Session Pt2; 2025 Exercises
H01J4A,Materials Characterisation Techniques I,Samenvattingen,Overig / Other,4,2.82,Ma - Materials Engineering,"2023 - 2024, 2024 - 2025, 2025 - 2026",Materials Characterization Techniques I; Materials Characterization Techniques Overview; Table Of Contents Only 2025
H01J4A,Materials Characterisation Techniques I,Samenvattingen,Samenvattingen,1,7.66,Ma - Materials Engineering,2022 - 2023,Samenvatting Deel 1 Roxanne Baeten
H01J6A,E&P,Examens,Examens,4,0.67,Ba - Materiaalkunde,"2008 - 2009, 2009 - 2010, 2012 - 2013",Examenvragen Dropbox; Examenvragen Opgelost; Examenvragen Mechanischgedrag
H01J6A,E&P,Oefenzittingen,Oefenzittingen,36,20.83,Ba - Materiaalkunde,"2007 - 2008, 2008 - 2009, 2009 - 2010, 2012 - 2013, 2014 - 2015",Mechanisch Gedrag Oefenzitting 2 Oef 3; Oefenzitting 1 Oef 2; Oefz3
H01J6A,E&P,Samenvattingen,Overig / Other,29,107.87,"Ba - Materiaalkunde, Schakel - Werktuigkunde","2008 - 2009, 2009 - 2010, 2012 - 2013, 2015 - 2016, 2018 - 2019",E&p Oef Wim R; E&p Theorie Wim R; 20140822192554571
H01J6A,E&P,Samenvattingen,Samenvattingen,4,16.04,"Ba - Materiaalkunde, Schakel - Werktuigkunde","2009 - 2010, 2018 - 2019, 2024 - 2025",E&p Samenvatting Wim R; Formularium Cilindercoordinaten; Formularium
H01J6A,E&P,Samenvattingen,Slides / Lesmateriaal,13,12.35,Ba - Materiaalkunde,2008 - 2009,Transparanten H 1; Transparanten H 10; Transparanten H 12
H01J9A,Chemische reactorkunde en bioreactorkunde,Examens,Examens,13,51.25,Ba - Chemische technologie,"2002 - 2003, 2011 - 2012, 2013 - 2014, 2014 - 2015, 2019 - 2020",Examenvragen Reactorkunde Opgaven (willem De Brandt); Examenvragen Reactorkunde Oplossing (willem De Brandt); 12 20 Oefenzitting9 Examenvragen 230907 150106
H01J9A,Chemische reactorkunde en bioreactorkunde,Oefenzittingen,Oefenzittingen,105,663.63,Ba - Chemische technologie,"2011 - 2012, 2014 - 2015, 2018 - 2019, 2023 - 2024",Reactorkunde Oefeningen (victor Nijssen); 12; 13
H01J9A,Chemische reactorkunde en bioreactorkunde,Samenvattingen,Samenvattingen,3,20.98,Ba - Chemische technologie,"2018 - 2019, 2021 - 2022",Reactorkunde Lesnotities (victor Nijssen); Reactorkunde Samenvatting Inkorting (kato Kenis); Verduidelijkte Samenvatting Kato Kenis (sarah Vanmarsenille)
H01J9A,Chemische reactorkunde en bioreactorkunde,Samenvattingen,Overig / Other,1,5.9,Ba - Chemische technologie,2021 - 2022,Ijkingstest 2022
H01K7A,Scheidingsprocessen,Examens,Examens,4,2.26,Ba - Chemische technologie,"2011 - 2012, 2020 - 2021, 2023 - 2024",Examen Scheidingsprocessen Opgaven (willem De Brandt); Examen Scheidingsprocessen Oplossing (willem De Brandt); Examen 2023 Toledo Opgave
H01K7A,Scheidingsprocessen,Oefenzittingen,Oefenzittingen,56,86.58,Ba - Chemische technologie,"2011 - 2012, 2013 - 2014, 2014 - 2015, 2018 - 2019, 2019 - 2020","Oefeningen Scheidingsprocessen (victor Nijssen); Oplossingen Scheidingsprocessen; Algemene Feedback Na Test 1, 2020"
H01K7A,Scheidingsprocessen,Samenvattingen,Samenvattingen,3,21.81,Ba - Chemische technologie,"2020 - 2021, 2024 - 2025",Scheidingsprocessen Samenvatting 2021 (lars Wouters); Scheidingsprocessen Samenvatting 2024; Scheidingsprocessen Samenvatting 2024
H01K7A,Scheidingsprocessen,Samenvattingen,Overig / Other,6,0.17,Ba - Chemische technologie,"2011 - 2012, 2014 - 2015",Oef 12; Oef 12 3 Ods; Oef 12 Ods 2
H01K7A,Scheidingsprocessen,Samenvattingen,Slides / Lesmateriaal,4,100.01,Ba - Chemische technologie,2019 - 2020,Voorbeeldoefening Sectie 5 Oefening 3; Voorbeeldoefening Sectie 6 Oefening 10; Voorbeeldoefening Sectie 7 Oefening 10
H01K9A,Toegepaste chemische thermodynamica,Examens,Examens,7,3.11,Ba - Chemische technologie,"2010 - 2011, 2011 - 2012, 2012 - 2013, 2022 - 2023, 2023 - 2024",Examen 13 6 12 Oefeningen; Chemcial Thermodynamics Exam2022 August; Chemcial Thermodynamics Exam2023 August
H01K9A,Toegepaste chemische thermodynamica,Oefenzittingen,Oefenzittingen,4,64.62,Ba - Chemische technologie,"2012 - 2013, 2021 - 2022, 2022 - 2023, 2023 - 2024",Engineering And Chemical Thermodynamics Milo D Koretsky (wiley 2013) [solutions]; Chemical Thermodynamics Modeloplossingen 2022; Chemical Thermodynamics Modeloplossingen 2023
H01K9A,Toegepaste chemische thermodynamica,Samenvattingen,Samenvattingen,4,9.69,Ba - Chemische technologie,"2010 - 2011, 2018 - 2019",Formularium Ct (victor Nijssen); Formularium Boek 1; Formularium Boek 2
H01K9A,Toegepaste chemische thermodynamica,Samenvattingen,Overig / Other,37,59.35,Ba - Chemische technologie,"2008 - 2009, 2010 - 2011, 2011 - 2012, 2012 - 2013, 2013 - 2014",Atkins 6th Ed Thermo Tabellen; Basis Totaal; Chemther 2007
H01K9A,Toegepaste chemische thermodynamica,TTT's,TTT's,4,1.71,Ba - Chemische technologie,"2021 - 2022, 2022 - 2023, 2025 - 2026",Chemcial Thermodynamics Midtermtest2022 Solutions; Chemcial Thermodynamics Midtermtest2023 Opgave; Chemical Thermodynamics Midtermtest2023 Oplossingen
H01L1A,Digitale elektronica en processoren,Examens,Examens,75,39.44,Ba - Elektrotechniek,"2002 - 2003, 2003 - 2004, 2005 - 2006, 2006 - 2007, 2008 - 2009",Dep Examen 21aug23 Oplossing; Dep Examen 24juni24 Oplossing; Dep Examen 26juni23 Oplossing
H01L1A,Digitale elektronica en processoren,Oefenzittingen,Oefenzittingen,19,7.92,Ba - Elektrotechniek,"2004 - 2005, 2010 - 2011, 2011 - 2012, 2018 - 2019, 2024 - 2025",Oz1 Combinatorisch Opgave; Oz1 Combinatorisch Oplossing; Oz2 Sequentieel 1 Opgave
H01L1A,Digitale elektronica en processoren,Samenvattingen,Overig / Other,1,0.06,Ba - Elektrotechniek,2012 - 2013,Inhoudstafel Dep 2013
H01L1A,Digitale elektronica en processoren,Samenvattingen,Samenvattingen,23,147.09,Ba - Elektrotechniek,"2010 - 2011, 2011 - 2012, 2013 - 2014, 2015 - 2016, 2017 - 2018",Dep Samenvatting (2019 2020) Kevin Lepinoy; Dep Samenvatting 2017 2018 (sarah Muys); Dep Schemalara Roosens
H01L4A,Digitale en analoge communicatie,Examens,Examens,21,51.43,Ba - Elektrotechniek,"2006 - 2007, 2010 - 2011, 2013 - 2014, 2014 - 2015, 2019 - 2020",Dac Examen 2011 01 26 Vraag 3 (opgave); Dac Examen 2014 06 06 (opgave); Dac Examen 2014 06 06 Vraag 3 (oplossing)
H01L4A,Digitale en analoge communicatie,Oefenzittingen,Oefenzittingen,27,67.91,Ba - Elektrotechniek,"2009 - 2010, 2010 - 2011, 2011 - 2012, 2013 - 2014, 2018 - 2019",Communication Systems 4th Edition Simon Haykin With Solutions Manual; Dac Oz1 Opgave (2018 2019); Dac Oz1 Oplossing (2009 2010)
H01L4A,Digitale en analoge communicatie,Oefenzittingen,Labo & Code,121,0.07,Ba - Elektrotechniek,2012 - 2013,A 10a; A 10b; E1 006
H01L4A,Digitale en analoge communicatie,Samenvattingen,Overig / Other,9,0.92,Ba - Elektrotechniek,"2011 - 2012, 2012 - 2013, 2020 - 2021, 2023 - 2024",Dac Faq; Dac Termen Md; Handige Formules Pedrodevogelaere
H01L4A,Digitale en analoge communicatie,Samenvattingen,Samenvattingen,5,50.88,Ba - Elektrotechniek,"2011 - 2012, 2012 - 2013, 2019 - 2020, 2022 - 2023, 2025 - 2026","Dac Formularium Gv; Formularium Dac (wout Sansen, 2025 2026); Prentice Hall Digital And Analog Communication Systems"
H01L4A,Digitale en analoge communicatie,Samenvattingen,Slides / Lesmateriaal,3,0.21,Ba - Elektrotechniek,2011 - 2012,Dac E 2 0 Animation Random Process; Dac E 3 0 Animation Line Codes 1; Dac E 4 0 Animation Complex Envelope
H01L6A,Digital Signal Processing,Examens,Examens,33,210.32,"Ba - Biomedische technologie, Ba - Elektrotechniek","2016 - 2017, 2018 - 2019, 2020 - 2021, 2023 - 2024",Examen 2023 Voorbeeld (studentenoplossing Maarten De Baecke); Examen 2023 Voorbeeld (studentenoplossing Uit Discord); Examen 2023 Voorbeeld
H01L6A,Digital Signal Processing,Oefenzittingen,Oefenzittingen,145,69.18,"Ba - Biomedische technologie, Ba - Elektrotechniek","2015 - 2016, 2021 - 2022, 2022 - 2023, 2023 - 2024, 2024 - 2025",Oefenzitting 1 Dsv Nick Hosewol; Oefenzitting 1 Dsv Oplossing Nick Hosewol; Oefenzitting 2 Dsv Nick Hosewol
H01L6A,Digital Signal Processing,Samenvattingen,Overig / Other,5,2.18,"Ba - Biomedische technologie, Ba - Elektrotechniek","2011 - 2012, 2012 - 2013, 2013 - 2014",Bodeplotmaker; Bodeplotmaker; Edft Als Filterbank
H01L6A,Digital Signal Processing,Samenvattingen,Samenvattingen,12,348.25,"Ba - Biomedische technologie, Ba - Elektrotechniek","2014 - 2015, 2017 - 2018, 2018 - 2019, 2023 - 2024, 2024 - 2025",Formularium; [2018 19] Samenvatting Dsv Tibo Geenen; Digitale Signaalverwerking Samenvatting 2024 2025 (milan Schoofs)
H01L6A,Digital Signal Processing,Samenvattingen,Slides / Lesmateriaal,5,3.39,"Ba - Biomedische technologie, Ba - Elektrotechniek","2011 - 2012, 2012 - 2013, 2013 - 2014",Edft Als Filterbank; Figuren Dsv; Filters
H01L8A,Electrical Energy and Drive Systems,Examens,Examens,25,35.8,"Ba - Biomedische technologie, Ba - Elektrotechniek, Ba - Werktuigkunde","1999 - 2000, 2012 - 2013, 2013 - 2014, 2014 - 2015, 2017 - 2018",Eea Oud Examenvragen 2000 2018; Eea Labo 12; Eea Oefeningen
H01L8A,Electrical Energy and Drive Systems,Oefenzittingen,Oefenzittingen,32,274.66,"Ba - Biomedische technologie, Ba - Elektrotechniek, Ba - Werktuigkunde","2011 - 2012, 2013 - 2014, 2014 - 2015, 2019 - 2020, 2020 - 2021",Eea Oefenzitting Motoren Opl; Oefenzitting 1 Oplossing Toledo2017; Eea Oefz
H01L8A,Electrical Energy and Drive Systems,Samenvattingen,Samenvattingen,46,241.46,"Ba - Biomedische technologie, Ba - Elektrotechniek, Ba - Werktuigkunde","2012 - 2013, 2013 - 2014, 2014 - 2015, 2015 - 2016, 2017 - 2018",Energie Wikis Deel 1; Energie Wikis Deel 2; Geziene Leerstof 2014
H01L8A,Electrical Energy and Drive Systems,Samenvattingen,Overig / Other,6,16.23,"Ba - Biomedische technologie, Ba - Elektrotechniek, Ba - Werktuigkunde","2011 - 2012, 2013 - 2014, 2018 - 2019, 2022 - 2023, 2025 - 2026",Klokgetal[1] Tw[1]; Klokgetal[1] Tw[1]; Labo5 Eea
H01L8A,Electrical Energy and Drive Systems,Samenvattingen,Slides / Lesmateriaal,20,229.41,"Ba - Elektrotechniek, Ba - Werktuigkunde","2020 - 2021, 2024 - 2025",Oefz Transformatoren Oplossingen1; Afspraken Eea Nick Hosewol; Deel 0 Eea Nick Hosewol
H01M0A,Anki Flashcards Semester 6 ELT,Samenvattingen,Samenvattingen,1,10.43,Ba - Elektrotechniek,2023 - 2024,Anki Flashcards Semester 6 Elt (jarne Van Geyseghem 2023 2024)
H01M1A,Elektromagnetische golven,Examens,Examens,7,11.49,Ba - Elektrotechniek,"2013 - 2014, 2014 - 2015, 2018 - 2019, 2020 - 2021, 2022 - 2023",Emp Session1 Slides; Examen Emg 7 Juni 2019; Examenvragenemg Opl
H01M1A,Elektromagnetische golven,Oefenzittingen,Oefenzittingen,22,152.83,Ba - Elektrotechniek,"2006 - 2007, 2012 - 2013, 2013 - 2014, 2014 - 2015, 2015 - 2016",Smith Chart Tutorial Nick Hosewol; Smith Chart; [2018 19] Oz 3 Stappenplan Tibo Geenen
H01M1A,Elektromagnetische golven,Samenvattingen,Samenvattingen,22,134.94,Ba - Elektrotechniek,"2011 - 2012, 2013 - 2014, 2015 - 2016, 2017 - 2018, 2018 - 2019",Emg Studentencursus 2019 2020 V1 1; David J Griffiths Introduction To Electrodynamics (3rd Ed ); Emg Samenvatting (caro)
H01M1A,Elektromagnetische golven,Samenvattingen,Slides / Lesmateriaal,49,61.86,Ba - Elektrotechniek,"2011 - 2012, 2012 - 2013, 2013 - 2014, 2015 - 2016",Animations; Ch01; Ch02
H01M3A,Elektronische basisschakelingen,Examens,Examens,79,123.5,"Ba - Biomedische technologie, Ba - Elektrotechniek","2006 - 2007, 2007 - 2008, 2008 - 2009, 2013 - 2014, 2014 - 2015",Opgave; Oplossing; 2019 1
H01M3A,Elektronische basisschakelingen,Oefenzittingen,Oefenzittingen,22,40.24,"Ba - Biomedische technologie, Ba - Elektrotechniek","2014 - 2015, 2024 - 2025",Oefenzitting 1 Ebs Nick Hosewol; Oefenzitting 1 Ebs Oplossing Nick Hosewol; Oefenzitting 2 Ebs Nick Hosewol
H01M3A,Elektronische basisschakelingen,Samenvattingen,Overig / Other,4,1.36,"Ba - Biomedische technologie, Ba - Elektrotechniek","2011 - 2012, 2015 - 2016",Bodeplotmaker; Circuit Naar Signaalverwerkingsblok; Bodeplotmaker
H01M3A,Elektronische basisschakelingen,Samenvattingen,Samenvattingen,9,77.4,"Ba - Biomedische technologie, Ba - Elektrotechniek","2017 - 2018, 2019 - 2020, 2021 - 2022, 2024 - 2025",[2018 19] Blackman Tutorial + Examenvoorbeelden Tibo Geenen Benoit Cattoir; Bode Plot Schema; Samenvatting Ebs (zip Met Scans)(nic Vermeeren)
H01M3A,Elektronische basisschakelingen,Samenvattingen,Slides / Lesmateriaal,8,8.14,"Ba - Biomedische technologie, Ba - Elektrotechniek","2014 - 2015, 2018 - 2019",Oefenzitting 1 Slides (2015); Oefenzitting 1 Slides (2019); Oefenzitting 2 Slides
H01M4A,Electromagnetic Interference,Oefenzittingen,Oefenzittingen,1,2.87,Ma - Electrical Engineering,2024 - 2025,Emc Samenvatting Exvragen Robbe Robbe
H01M5A,Halfgeleidercomponenten,Examens,Examens,27,164.31,Ba - Elektrotechniek,"2005 - 2006, 2012 - 2013, 2015 - 2016, 2017 - 2018, 2018 - 2019",Hgc Denk Examenvragen + Oplossingen; Hgc Examen 2013 08 19; Hgc Examen 2019 06 21
H01M5A,Halfgeleidercomponenten,Oefenzittingen,Oefenzittingen,37,35.2,Ba - Elektrotechniek,"2012 - 2013, 2013 - 2014, 2015 - 2016, 2017 - 2018, 2019 - 2020",Oefenzitting 1 Hgc Basics & Fundamentals Nick Hosewol; Oefenzitting 1 Hgc Basics & Fundamentals Oplossingen Nick Hosewol; Oefenzitting 2 Hgc P N Diode Nick Hosewol
H01M5A,Halfgeleidercomponenten,Samenvattingen,Samenvattingen,16,84.35,Ba - Elektrotechniek,"2011 - 2012, 2012 - 2013, 2013 - 2014, 2014 - 2015, 2016 - 2017",Extra Informatie 1; Extra Informatie 2; Hgc Geüpgraded Formularium
H01M5A,Halfgeleidercomponenten,Samenvattingen,Overig / Other,2,0.09,Ba - Elektrotechniek,2011 - 2012,Handige Links; Table Of Contents
H01M5A,Halfgeleidercomponenten,Samenvattingen,Slides / Lesmateriaal,17,44.54,Ba - Elektrotechniek,"2015 - 2016, 2017 - 2018, 2018 - 2019, 2024 - 2025",Oefenzitting 6 Hgc Band Diagrams Nick Hosewol; Oefenzitting 6 Hgc Band Diagrams Oplossing Nick Hosewol; Part 1 Basics Nick Hosewol
H01M5A,Halfgeleidercomponenten,TTT's,TTT's,26,19.93,Ba - Elektrotechniek,"2013 - 2014, 2014 - 2015, 2015 - 2016, 2016 - 2017, 2017 - 2018",Hgc Ttt 1 Basics And Diode 2014; Hgc Ttt 1 Basics And Diode 2015; Hgc Ttt 1 Basics And Diode 2016
H01N0A,Motion and Vibrations,Examens,Examens,37,13.36,Ba - Werktuigkunde,"2006 - 2007, 2012 - 2013, 2014 - 2015, 2017 - 2018, 2018 - 2019",Examenvragen Beweging; Examen 19 06 2025 (daniel Van Gerven); Examen 19 06 2025 (daniel Van Gerven
H01N0A,Motion and Vibrations,Oefenzittingen,Oefenzittingen,27,24.43,"Ba - Werktuigkunde, Schakel - Werktuigkunde","2013 - 2014, 2014 - 2015, 2018 - 2019, 2024 - 2025",Nokken Vragen; Oefenzitting 1 Trillingen Nick Hosewol; Oefenzitting 2 Trillingen Nick Hosewol
H01N0A,Motion and Vibrations,Oefenzittingen,Labo & Code,31,8.91,Ba - Werktuigkunde,"2011 - 2012, 2012 - 2013, 2013 - 2014, 2014 - 2015",Fourbar Movie; Dyn 8bar; Dyn Check
H01N0A,Motion and Vibrations,Oefenzittingen,Verslagen & Projecten,2,5.73,Ba - Werktuigkunde,2023 - 2024,Hensdennis Heylenjorrit; Verslag Beweging Nokken (6)
H01N0A,Motion and Vibrations,Samenvattingen,Samenvattingen,17,131.8,"Ba - Werktuigkunde, Schakel - Werktuigkunde","2013 - 2014, 2014 - 2015, 2018 - 2019, 2022 - 2023, 2023 - 2024",Sv01 Mobiliteit; Sv02 Kinematische Analyse Vlakke Stangenmechanismes; Sv03 Dynamische Analyse Vlakke Stangenmechanismes
H01N0A,Motion and Vibrations,Samenvattingen,Overig / Other,22,40.67,"Ba - Werktuigkunde, Schakel - Werktuigkunde","2011 - 2012, 2012 - 2013, 2014 - 2015, 2018 - 2019, 2020 - 2021",Speelmansara Vanbellevincent; Speelmansara Vanbellevincent; Flaps
H01N0A,Motion and Vibrations,Samenvattingen,Slides / Lesmateriaal,9,28.09,Ba - Werktuigkunde,2024 - 2025,Les 1a Inleiding Nick Hosewol; Les 1b Kinematisch Schema En Beweegbaarheid Nick Hosewol; Les 2 Kinematische Analyse Van Vlakke Mechanismen Nick Hosewol
H01N2A,Energy Conversion Machines and Systems,Examens,Examens,9,32.9,Ba - Werktuigkunde,"2012 - 2013, 2014 - 2015, 2018 - 2019, 2019 - 2020, 2021 - 2022",Ecms 12 Juni 2024; Ecms Opgeloste Examenvragen Kevin Lepinoy (1); Ecms Theorievragen Nick Hosewol
H01N2A,Energy Conversion Machines and Systems,Oefenzittingen,Oefenzittingen,17,229.41,Ba - Werktuigkunde,"2011 - 2012, 2012 - 2013, 2014 - 2015, 2019 - 2020, 2021 - 2022",Alle Oef Pompen+straalpijpen 2024 2025 (tijlvanneste); Alle Oefeningen Pompen & Compressoren (2024 2025); Labo Klimaatregeling
H01N2A,Energy Conversion Machines and Systems,Samenvattingen,Slides / Lesmateriaal,1,0.07,Ba - Werktuigkunde,2013 - 2014,Axiale Compressor (wikimedia)
H01N2A,Energy Conversion Machines and Systems,Samenvattingen,Samenvattingen,53,419.46,Ba - Werktuigkunde,"2010 - 2011, 2011 - 2012, 2012 - 2013, 2014 - 2015, 2016 - 2017",Formularium Thermodynamica; Formularium; Schema Oefeningen Ecms Lisa Corten
H01N8A,Machine Design: Machine Elements,Examens,Examens,25,244.45,Ba - Werktuigkunde,"2011 - 2012, 2012 - 2013, 2013 - 2014, 2014 - 2015, 2019 - 2020",Examen 19 06 2014; Examen Sdm 5 6 2020; Examenoefn
H01N8A,Machine Design: Machine Elements,Oefenzittingen,Oefenzittingen,43,704.82,Ba - Werktuigkunde,"2012 - 2013, 2013 - 2014, 2014 - 2015, 2017 - 2018, 2018 - 2019",Sdme Lesnotities En Oefeningen (glenn Peeters); Extra Opgaven H11 Maarten De Baecke; Extra Opgaven H21 Maarten De Baecke
H01N8A,Machine Design: Machine Elements,Samenvattingen,Samenvattingen,30,61.81,Ba - Werktuigkunde,"2011 - 2012, 2012 - 2013, 2014 - 2015, 2017 - 2018, 2020 - 2021",Afleiding Vergelijkingsspanning; Roloffmatek Verwijzingen; Sdm Notities
H01N8A,Machine Design: Machine Elements,Samenvattingen,Slides / Lesmateriaal,44,204.26,Ba - Werktuigkunde,"2014 - 2015, 2020 - 2021, 2021 - 2022",0 Sdme; 10 Pneumatische Aandr (seminarie); 11 Riemen Kettingen
H01O1A,Production Engineering and Systems,Examens,Examens,12,8.98,Ba - Werktuigkunde,"2009 - 2010, 2014 - 2015, 2017 - 2018, 2018 - 2019, 2020 - 2021","Richtlijnen Examen H01o1 1; B,h,v Mogelijkheden (wouter Janssens) 2020 2021; Examen 04 06 2026 Voormiddag"
H01O1A,Production Engineering and Systems,Oefenzittingen,Oefenzittingen,19,123.04,Ba - Werktuigkunde,"2011 - 2012, 2013 - 2014, 2014 - 2015, 2024 - 2025",Les 1 Inleiding Verspaning Nick Hosewol; Les 10 Walsen Nick Hosewol; Les 11 Omvormen Nick Hosewol
